order_id,date,time,pizza_id,quantity,size,price,name,category,ingredients
2,"Thursday, January 1, 2015",11:57:40 AM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
16,"Thursday, January 1, 2015",1:34:07 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
25,"Thursday, January 1, 2015",2:44:44 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
30,"Thursday, January 1, 2015",3:41:25 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
35,"Thursday, January 1, 2015",4:32:04 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
54,"Thursday, January 1, 2015",7:01:45 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
71,"Friday, January 2, 2015",11:40:50 AM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
79,"Friday, January 2, 2015",12:29:11 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
81,"Friday, January 2, 2015",12:40:01 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
89,"Friday, January 2, 2015",2:30:19 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
143,"Saturday, January 3, 2015",1:41:36 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
156,"Saturday, January 3, 2015",3:42:19 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
172,"Saturday, January 3, 2015",5:29:24 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
177,"Saturday, January 3, 2015",5:54:36 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
186,"Saturday, January 3, 2015",7:36:00 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
224,"Sunday, January 4, 2015",4:39:58 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
242,"Sunday, January 4, 2015",8:15:29 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
248,"Sunday, January 4, 2015",8:58:19 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
270,"Monday, January 5, 2015",2:09:02 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
274,"Monday, January 5, 2015",2:36:33 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
294,"Monday, January 5, 2015",6:16:35 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
322,"Tuesday, January 6, 2015",1:02:13 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
334,"Tuesday, January 6, 2015",2:24:18 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
338,"Tuesday, January 6, 2015",3:18:26 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
347,"Tuesday, January 6, 2015",4:37:17 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
348,"Tuesday, January 6, 2015",4:49:12 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
359,"Tuesday, January 6, 2015",6:33:08 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
368,"Tuesday, January 6, 2015",8:28:16 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
377,"Wednesday, January 7, 2015",12:03:18 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
379,"Wednesday, January 7, 2015",12:25:37 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
394,"Wednesday, January 7, 2015",2:02:18 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
400,"Wednesday, January 7, 2015",4:03:07 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
432,"Thursday, January 8, 2015",11:39:07 AM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
440,"Thursday, January 8, 2015",12:16:34 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
441,"Thursday, January 8, 2015",12:16:58 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
449,"Thursday, January 8, 2015",1:04:15 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
453,"Thursday, January 8, 2015",1:27:14 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
475,"Thursday, January 8, 2015",5:15:17 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
513,"Friday, January 9, 2015",12:22:48 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
549,"Friday, January 9, 2015",7:06:34 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
551,"Friday, January 9, 2015",7:26:24 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
592,"Saturday, January 10, 2015",5:41:55 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
608,"Saturday, January 10, 2015",7:36:33 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
646,"Sunday, January 11, 2015",2:07:26 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
656,"Sunday, January 11, 2015",4:44:49 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
689,"Monday, January 12, 2015",12:33:22 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
698,"Monday, January 12, 2015",2:08:16 PM,thai_ckn_l,1,L,20.75,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
